time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45015.52075,0,8.75,7,0,0,0,0,0,0,0,0,0,54,55,37
45015.52083,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,2
45015.52101,0,18.75,15,0,0,0,0,0,0,0,0,0,32,34,44
45015.52118,0,18.75,15,0,0,0,0,0,0,0,0,0,19,19,25
45015.52135,0,18.75,15,0,0,0,0,0,0,0,0,0,52,39,41
45015.52153,0,18.75,15,0,0,0,0,0,0,0,0,0,752,677,866
45015.5217,0,18.75,15,0,0,0,0,0,0,0,0,0,557,683,687
45015.52188,0,18.75,15,0,0,0,0,0,0,0,0,0,82,109,110
45015.52205,0,18.75,15,0,0,0,0,0,0,0,0,0,15,17,16
45015.52222,0,18.75,15,0,0,0,0,0,0,0,0,0,2292,2508,2342
45015.5224,0,18.75,15,0,0,0,0,0,0,0,0,0,3466,3885,3205
45015.52257,0,18.75,15,0,0,0,0,0,0,0,0,0,1901,2456,2744
45015.52274,0,18.75,15,0,0,0,0,0,0,0,0,0,56,54,58
45015.52292,0,18.75,15,0,0,0,0,0,0,0,0,0,103,112,157
45015.52309,0,18.75,15,0,0,0,0,0,0,0,0,0,10,10,18
45015.52326,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52344,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52361,0,18.75,15,0,0,0,0,0,0,0,0,0,22,20,25
45015.52378,0,18.75,15,0,0,0,0,0,0,0,0,0,1010,1535,958
45015.52396,0,18.75,15,0,0,0,0,0,0,0,0,0,27,36,34
45015.52413,0,18.75,15,0,0,0,0,0,0,0,0,0,649,752,698
45015.52431,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,0
45015.52448,0,18.75,15,0,0,0,0,0,0,0,0,0,22,15,19
45015.52465,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.52483,0,18.75,15,0,0,0,0,0,0,0,0,0,18,14,21
45015.525,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.52517,0,18.75,15,0,0,0,0,0,0,0,0,0,1489,1858,1756
45015.52535,0,18.75,15,0,0,0,0,0,0,0,0,0,266,247,166
45015.52552,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45015.52569,0,18.75,15,0,0,0,0,0,0,0,0,0,2,2,0
45015.52587,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,0
45015.52604,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,0
45015.52622,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,0
45015.52639,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52656,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52674,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,0
45015.52691,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52708,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52726,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52743,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.5276,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52778,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52795,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52813,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.5283,0,18.75,15,0,0,0,0,0,0,0,0,0,33,48,59
45015.52847,0,18.75,15,0,0,0,0,0,0,0,0,0,251,392,260
45015.52865,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.52882,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45015.52899,0,18.75,15,0,0,0,0,0,0,0,0,0,154,242,262
45015.52917,0,18.75,15,0,0,0,0,0,0,0,0,0,133,148,218
45015.52934,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,0
45015.52951,0,18.75,15,0,0,0,0,0,0,0,0,0,13,29,17
45015.52969,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,1
45015.52986,0,18.75,15,0,0,0,0,0,0,0,0,0,20,45,63
45015.53003,0,18.75,15,0,0,0,0,0,0,0,0,0,4,14,22
45015.53021,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,0
45015.53038,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53056,0,18.75,15,0,0,0,0,0,0,0,0,0,69,78,58
45015.53073,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,1
45015.5309,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.53108,0,18.75,15,0,0,0,0,0,0,0,0,0,17,27,6
45015.53125,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,1
45015.53142,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.5316,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53177,0,18.75,15,0,0,0,0,0,0,0,0,0,0,2,2
45015.53194,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.53212,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.53229,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.53247,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53264,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53281,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53299,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.53316,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.53333,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,0
45015.53351,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53368,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53385,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53403,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.5342,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,1
45015.53438,0,18.75,15,0,0,0,0,0,0,0,0,0,12,14,6
45015.53455,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45015.53472,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,0
45015.5349,0,18.75,15,0,0,0,0,0,0,0,0,0,35,90,27
45015.53507,0,18.75,15,0,0,0,0,0,0,0,0,0,59,71,67
45015.53524,0,18.75,15,0,0,0,0,0,0,0,0,0,23,24,8
45015.53542,0,18.75,15,0,0,0,0,0,0,0,0,0,1840,2353,1839
45015.53559,0,18.75,15,0,0,0,0,0,0,0,0,0,660,1145,787
45015.53576,0,18.75,15,0,0,0,0,0,0,0,0,0,142,100,131
45015.53594,0,18.75,15,0,0,0,0,0,0,0,0,0,3179,4423,3287
45015.53611,0,18.75,15,0,0,0,0,0,0,0,0,0,722,1253,1255
45015.53628,0,18.75,15,0,0,0,0,0,0,0,0,0,336,362,402
45015.53646,0,18.75,15,0,0,0,0,0,0,0,0,0,133,188,162
45015.53663,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,2
45015.53681,0,18.75,15,0,0,0,0,0,0,0,0,0,49,99,108
45015.53698,0,18.75,15,0,0,0,0,0,0,0,0,0,78,75,80
45015.53715,0,18.75,15,0,0,0,0,0,0,0,0,0,123,171,163
45015.53733,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,2
45015.5375,0,18.75,15,0,0,0,0,0,0,0,0,0,11,5,1
45015.53767,0,18.75,15,0,0,0,0,0,0,0,0,0,130,278,252
45015.53785,0,18.75,15,0,0,0,0,0,0,0,0,0,13,11,7
45015.53802,0,18.75,15,0,0,0,0,0,0,0,0,0,1212,1483,1263
45015.53819,0,18.75,15,0,0,0,0,0,0,0,0,0,1617,2261,1011
45015.53837,0,18.75,15,0,0,0,0,0,0,0,0,0,2138,1699,1566
45015.53854,0,18.75,15,0,0,0,0,0,0,0,0,0,463,537,404
45015.53872,0,18.75,15,0,0,0,0,0,0,0,0,0,0,2,0
45015.53889,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53906,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45015.53924,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45015.53941,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,0
45015.53958,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53976,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.53993,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.5401,0,18.75,15,0,0,0,0,0,0,0,0,0,28,40,42
45015.54028,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.54045,0,18.75,15,0,0,0,0,0,0,0,0,0,2,0,1
45015.54063,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45015.5408,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.54097,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45015.54115,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
