time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45029.62491,0,10,8,0,0,0,0,0,0,0,0,0,5,6,13
45029.625,0,18.75,15,0,0,0,0,0,0,0,0,0,2,8,10
45029.62517,0,18.75,15,0,0,0,0,0,0,0,0,0,173,169,165
45029.62535,0,18.75,15,0,0,0,0,0,0,0,0,0,50,60,56
45029.62552,0,18.945,14,1,0,0,0,0,0,0,1,0,733,976,933
45029.62569,16,41.8,0,15,10,0,0,0,0,0,0,0,6538,8959,7878
45029.62587,4,25.91818182,0,15,10,0,0,0,0,0,0,0,3217,4851,4086
45029.62604,0,21.28181818,0,15,0,0,0,0,0,0,0,0,2117,3844,2768
45029.62622,4,24.06,0,15,3,0,0,0,0,0,0,0,3986,4587,4345
45029.62639,6,30.94,0,15,7,0,0,0,0,0,0,0,4996,8703,5281
45029.62656,0,19.485,10,5,0,0,0,0,0,0,0,1,1421,2228,1655
45029.62674,0,18.75,15,0,0,0,0,0,0,0,0,0,777,958,1007
45029.62691,0,18.75,15,0,0,0,0,0,0,0,0,0,132,195,207
45029.62708,0,18.75,15,0,0,0,0,0,0,0,0,0,28,16,17
45029.62726,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,2
45029.62743,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45029.6276,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45029.62778,0,18.75,15,0,0,0,0,0,0,0,0,0,6,21,10
45029.62795,0,18.75,15,0,0,0,0,0,0,0,0,0,27,27,35
45029.62813,0,18.75,15,0,0,0,0,0,0,0,0,0,176,268,254
45029.6283,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,1
45029.62847,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,0
45029.62865,0,18.75,15,0,0,0,0,0,0,0,0,0,31,15,11
45029.62882,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,0
45029.62899,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45029.62917,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45029.62934,0,18.75,15,0,0,0,0,0,0,0,0,0,0,2,1
45029.62951,0,18.75,15,0,0,0,0,0,0,0,0,0,23,17,23
45029.62969,0,18.75,15,0,0,0,0,0,0,0,0,0,31,37,55
45029.62986,0,20.67,2,13,0,0,0,0,0,0,1,0,960,1441,1350
45029.63003,0,19.77,8,7,0,0,0,0,0,0,0,1,1526,2127,1813
45029.63021,0,18.75,15,0,0,0,0,0,0,0,0,0,350,504,351
45029.63038,0,18.75,15,0,0,0,0,0,0,0,0,0,2,0,2
45029.63056,0,18.75,15,0,0,0,0,0,0,0,0,0,3,15,15
45029.63073,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45029.6309,0,18.75,15,0,0,0,0,0,0,0,0,0,78,91,127
45029.63108,0,18.75,15,0,0,0,0,0,0,0,0,0,15,12,14
45029.63125,0,18.75,15,0,0,0,0,0,0,0,0,0,180,334,244
45029.63142,0,18.75,15,0,0,0,0,0,0,0,0,0,268,203,464
45029.6316,0,18.75,15,0,0,0,0,0,0,0,0,0,142,111,191
45029.63177,0,18.75,15,0,0,0,0,0,0,0,0,0,229,419,308
45029.63194,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,1
