time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45120.64574,0,10,8,0,0,0,0,0,0,0,0,0,116,359,236
45120.64583,0,18.75,15,0,0,0,0,0,0,0,0,0,248,437,280
45120.64601,0,18.75,15,0,0,0,0,0,0,0,0,0,384,370,436
45120.64618,0,18.75,15,0,0,0,0,0,0,0,0,0,219,272,288
45120.64635,0,18.75,15,0,0,0,0,0,0,0,0,0,84,222,236
45120.64653,0,18.75,15,0,0,0,0,0,0,0,0,0,123,339,146
45120.6467,0,18.75,15,0,0,0,0,0,0,0,0,0,21,37,32
45120.64688,0,18.75,15,0,0,0,0,0,0,0,0,0,16,47,22
45120.64705,0,18.75,15,0,0,0,0,0,0,0,0,0,136,470,156
45120.64722,0,18.75,15,0,0,0,0,0,0,0,0,0,110,133,192
45120.6474,0,18.75,15,0,0,0,0,0,0,0,0,0,163,196,164
45120.64757,0,18.75,15,0,0,0,0,0,0,0,0,0,328,375,191
45120.64774,0,18.75,15,0,0,0,0,0,0,0,0,0,212,328,200
45120.64792,0,18.75,15,0,0,0,0,0,0,0,0,0,427,376,316
45120.64809,0,18.75,15,0,0,0,0,0,0,0,0,0,142,214,154
45120.64826,0,18.75,15,0,0,0,0,0,0,0,0,0,96,375,89
45120.64844,0,18.75,15,0,0,0,0,0,0,0,0,0,11,54,18
45120.64861,0,18.75,15,0,0,0,0,0,0,0,0,0,25,171,50
45120.64878,0,18.75,15,0,0,0,0,0,0,0,0,0,66,189,57
45120.64896,0,18.75,15,0,0,0,0,0,0,0,0,0,8,11,12
45120.64913,0,18.75,15,0,0,0,0,0,0,0,0,0,2,7,3
45120.64931,0,18.75,15,0,0,0,0,0,0,0,0,0,2,19,10
45120.64948,0,18.75,15,0,0,0,0,0,0,0,0,0,56,100,67
45120.64965,0,18.75,15,0,0,0,0,0,0,0,0,0,12,19,17
45120.64983,0,18.75,15,0,0,0,0,0,0,0,0,0,2,2,2
45120.65,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45120.65017,0,18.75,15,0,0,0,0,0,0,0,0,0,42,261,57
45120.65035,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,1
45120.65052,0,18.75,15,0,0,0,0,0,0,0,0,0,258,597,490
45120.65069,0,18.75,15,0,0,0,0,0,0,0,0,0,33,40,22
45120.65087,0,18.75,15,0,0,0,0,0,0,0,0,0,168,467,178
45120.65104,0,18.75,15,0,0,0,0,0,0,0,0,0,253,265,186
45120.65122,0,18.75,15,0,0,0,0,0,0,0,0,0,441,334,258
45120.65139,0,18.75,15,0,0,0,0,0,0,0,0,0,187,206,121
45120.65156,0,18.75,15,0,0,0,0,0,0,0,0,0,118,132,81
45120.65174,0,18.75,15,0,0,0,0,0,0,0,0,0,49,74,40
45120.65191,0,18.75,15,0,0,0,0,0,0,0,0,0,106,152,50
45120.65208,0,18.75,15,0,0,0,0,0,0,0,0,0,217,264,135
45120.65226,0,18.75,15,0,0,0,0,0,0,0,0,0,63,117,43
45120.65243,0,18.75,15,0,0,0,0,0,0,0,0,0,814,728,698
45120.6526,0,18.75,15,0,0,0,0,0,0,0,0,0,17,20,19
45120.65278,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45120.65295,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45120.65313,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45120.6533,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45120.65347,0,18.75,15,0,0,0,0,0,0,0,0,0,30,85,31
45120.65365,0,18.75,15,0,0,0,0,0,0,0,0,0,69,160,76
45120.65382,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45120.65399,0,18.75,15,0,0,0,0,0,0,0,0,0,308,240,243
45120.65417,0,18.75,15,0,0,0,0,0,0,0,0,0,524,443,442
45120.65434,0,18.75,15,0,0,0,0,0,0,0,0,0,76,133,65
45120.65451,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
45120.65469,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45120.65486,0,18.75,15,0,0,0,0,0,0,0,0,0,575,1040,809
45120.65503,0,18.75,15,0,0,0,0,0,0,0,0,0,138,138,152
45120.65521,0,18.75,15,0,0,0,0,0,0,0,0,0,103,131,108
45120.65538,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,3
45120.65556,0,18.75,15,0,0,0,0,0,0,0,0,0,22,40,31
45120.65573,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,0
45120.6559,0,18.75,15,0,0,0,0,0,0,0,0,0,427,593,387
45120.65608,0,18.75,15,0,0,0,0,0,0,0,0,0,270,730,463
45120.65625,0,18.75,15,0,0,0,0,0,0,0,0,0,196,643,311
45120.65642,0,18.75,15,0,0,0,0,0,0,0,0,0,112,117,88
45120.6566,0,18.75,15,0,0,0,0,0,0,0,0,0,0,2,0
45120.65677,0,18.75,15,0,0,0,0,0,0,0,0,0,61,220,86
45120.65694,0,18.75,15,0,0,0,0,0,0,0,0,0,234,471,201
45120.65712,0,18.75,15,0,0,0,0,0,0,0,0,0,560,519,350
45120.65729,0,18.75,15,0,0,0,0,0,0,0,0,0,401,593,341
45120.65747,0,18.75,15,0,0,0,0,0,0,0,0,0,199,242,125
45120.65764,0,18.75,15,0,0,0,0,0,0,0,0,0,35,55,41
45120.65781,0,18.75,15,0,0,0,0,0,0,0,0,0,28,39,45
45120.65799,0,18.75,15,0,0,0,0,0,0,0,0,0,0,2,0
45120.65816,0,18.75,15,0,0,0,0,0,0,0,0,0,56,94,65
45120.65833,0,18.75,15,0,0,0,0,0,0,0,0,0,216,295,301
45120.65851,0,18.75,15,0,0,0,0,0,0,0,0,0,30,19,12
45120.65868,0,18.75,15,0,0,0,0,0,0,0,0,0,105,209,181
45120.65885,0,18.75,15,0,0,0,0,0,0,0,0,0,32,70,50
45120.65903,0,18.75,15,0,0,0,0,0,0,0,0,0,126,214,228
45120.6592,0,19.695,9,6,0,0,0,0,0,0,1,0,1020,1399,1023
45120.65938,0,21,0,15,0,0,0,0,0,0,0,0,390,577,546
45120.65955,0,20.64,2,13,0,0,0,0,0,0,0,1,557,710,548
45120.65972,0,18.75,15,0,0,0,0,0,0,0,0,0,703,860,613
45120.6599,0,18.75,15,0,0,0,0,0,0,0,0,0,159,277,221
45120.66007,0,18.75,15,0,0,0,0,0,0,0,0,0,150,406,247
45120.66024,0,18.75,15,0,0,0,0,0,0,0,0,0,231,346,192
45120.66042,0,18.75,15,0,0,0,0,0,0,0,0,0,445,792,622
45120.66059,0,18.75,15,0,0,0,0,0,0,0,0,0,72,103,77
45120.66076,0,18.75,15,0,0,0,0,0,0,0,0,0,631,2420,1083
45120.66094,0,18.75,15,0,0,0,0,0,0,0,0,0,447,1809,729
45120.66111,0,18.75,15,0,0,0,0,0,0,0,0,0,1,2,2
45120.66128,0,18.75,15,0,0,0,0,0,0,0,0,0,557,2113,882
45120.66146,0,18.75,15,0,0,0,0,0,0,0,0,0,533,2444,1046
45120.66163,0,18.75,15,0,0,0,0,0,0,0,0,0,606,2495,1082
45120.66181,0,18.75,15,0,0,0,0,0,0,0,0,0,439,2000,821
45120.66198,0,18.75,15,0,0,0,0,0,0,0,0,0,169,708,275
45120.66215,0,18.75,15,0,0,0,0,0,0,0,0,0,276,609,391
45120.66233,0,18.75,15,0,0,0,0,0,0,0,0,0,137,226,102
45120.6625,0,18.75,15,0,0,0,0,0,0,0,0,0,85,196,67
45120.66267,0,18.75,15,0,0,0,0,0,0,0,0,0,103,197,151
45120.66285,0,18.75,15,0,0,0,0,0,0,0,0,0,700,2142,913
45120.66302,0,18.75,15,0,0,0,0,0,0,0,0,0,359,1475,753
45120.66319,0,18.75,15,0,0,0,0,0,0,0,0,0,168,441,247
45120.66337,0,18.75,15,0,0,0,0,0,0,0,0,0,405,1680,505
45120.66354,0,18.75,15,0,0,0,0,0,0,0,0,0,97,173,86
45120.66372,0,18.75,15,0,0,0,0,0,0,0,0,0,266,545,273
45120.66389,0,18.75,15,0,0,0,0,0,0,0,0,0,386,470,521
45120.66406,0,18.75,15,0,0,0,0,0,0,0,0,0,398,1127,515
45120.66424,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,1
45120.66441,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45120.66458,0,18.75,15,0,0,0,0,0,0,0,0,0,21,38,17
45120.66476,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,1
45120.66493,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45120.6651,0,18.75,15,0,0,0,0,0,0,0,0,0,115,257,91
45120.66528,0,18.75,15,0,0,0,0,0,0,0,0,0,112,351,137
45120.66545,0,18.75,15,0,0,0,0,0,0,0,0,0,41,70,22
45120.66563,0,18.75,15,0,0,0,0,0,0,0,0,0,47,97,49
45120.6658,0,18.75,15,0,0,0,0,0,0,0,0,0,102,277,130
45120.66597,0,18.75,15,0,0,0,0,0,0,0,0,0,62,186,87
45120.66615,0,18.75,15,0,0,0,0,0,0,0,0,0,22,29,10
45120.66632,0,18.75,15,0,0,0,0,0,0,0,0,0,93,200,97
45120.66649,0,18.75,15,0,0,0,0,0,0,0,0,0,155,286,129
45120.66667,0,18.75,15,0,0,0,0,0,0,0,0,0,549,728,864
45120.66684,0,18.75,15,0,0,0,0,0,0,0,0,0,580,1076,972
45120.66701,0,18.75,15,0,0,0,0,0,0,0,0,0,350,575,648
45120.66719,0,18.75,15,0,0,0,0,0,0,0,0,0,195,448,395
45120.66736,0,18.75,15,0,0,0,0,0,0,0,0,0,437,1668,730
45120.66753,0,18.75,15,0,0,0,0,0,0,0,0,0,405,1592,711
45120.66771,0,18.75,15,0,0,0,0,0,0,0,0,0,139,235,140
45120.66788,0,18.75,15,0,0,0,0,0,0,0,0,0,15,25,12
45120.66806,0,18.75,15,0,0,0,0,0,0,0,0,0,235,371,220
45120.66823,0,18.75,15,0,0,0,0,0,0,0,0,0,205,487,167
45120.6684,0,18.75,15,0,0,0,0,0,0,0,0,0,53,67,39
45120.66858,0,18.75,15,0,0,0,0,0,0,0,0,0,135,345,226
45120.66875,0,18.75,15,0,0,0,0,0,0,0,0,0,97,101,73
45120.66892,0,18.75,15,0,0,0,0,0,0,0,0,0,103,283,145
45120.6691,0,18.75,15,0,0,0,0,0,0,0,0,0,153,624,202
45120.66927,0,18.75,15,0,0,0,0,0,0,0,0,0,9,10,11
45120.66944,0,18.75,15,0,0,0,0,0,0,0,0,0,377,503,967
