time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45154.29157,0,0,0,0,0,0,0,0,8,0,0,0,8,10,9
45154.29167,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1
45154.29184,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29201,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29219,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29236,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29253,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29271,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29288,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29306,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29323,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.2934,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29358,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29375,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29392,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.2941,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29427,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29444,0,0,0,0,0,0,0,0,15,0,0,0,1,0,1
45154.29462,0,0,0,0,0,0,0,0,15,0,0,0,1,0,1
45154.29479,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29497,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29514,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29531,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29549,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29566,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29583,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29601,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29618,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29635,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29653,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.2967,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29688,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29705,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29722,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.2974,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29757,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29774,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29792,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29809,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29826,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29844,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29861,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29878,0,0,0,0,0,0,0,0,15,0,0,0,1,1,0
45154.29896,0,0,0,0,0,0,0,0,15,0,0,0,1,1,0
45154.29913,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29931,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29948,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29965,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.29983,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30017,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30035,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30052,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30069,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30087,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30104,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30122,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30139,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30156,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30174,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30191,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30208,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30226,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30243,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3026,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30278,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30295,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30313,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3033,0,0,0,0,0,0,0,0,15,0,0,0,2,0,1
45154.30347,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1
45154.30365,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30382,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30399,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30417,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30434,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30451,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30469,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30486,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30503,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30521,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30538,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30556,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30573,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3059,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30608,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30625,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30642,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3066,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30677,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30694,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30712,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30729,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30747,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30764,0,0,0,0,0,0,0,0,15,0,0,0,2,0,1
45154.30781,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1
45154.30799,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30816,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30833,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30851,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30868,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30885,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30903,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3092,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30938,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30955,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.30972,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3099,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31007,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31024,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31042,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31059,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31076,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31094,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31111,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31128,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31146,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31163,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31181,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31198,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31215,0,0,0,0,0,0,0,0,15,0,0,0,2,2,2
45154.31233,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3125,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31267,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31285,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31302,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31319,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31337,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31354,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31372,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31389,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31406,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31424,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31441,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31458,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31476,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31493,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3151,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31528,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31545,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31563,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3158,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31597,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31615,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31632,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31649,0,0,0,0,0,0,0,0,15,0,0,0,1,1,2
45154.31667,0,0,0,0,0,0,0,0,15,0,0,0,1,1,0
45154.31684,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31701,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31719,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31736,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31753,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31771,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31788,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31806,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31823,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3184,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31858,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31875,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31892,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3191,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31927,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31944,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31962,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31979,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.31997,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.32014,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.32031,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.32049,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.32066,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.32083,0,0,0,0,0,0,0,0,15,0,0,0,1,0,2
45154.32101,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0
45154.32118,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.32135,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.32153,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.3217,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.32188,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45154.32205,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
