time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45170.60409,0,8.75,0,0,0,0,0,0,0,7,0,0,576,498,923
45170.60417,0,18.75,0,0,0,0,0,0,0,15,0,0,1268,1159,2563
45170.60434,0,18.75,0,0,0,0,0,0,0,15,0,0,1269,939,2059
45170.60451,0,18.75,0,0,0,0,0,0,0,15,0,0,137,191,162
45170.60469,0,18.75,0,0,0,0,0,0,0,15,0,0,1,0,0
45170.60486,0,18.75,0,0,0,0,0,0,0,15,0,0,12,12,8
45170.60503,0,18.75,0,0,0,0,0,0,0,15,0,0,0,0,0
45170.60521,0,18.75,0,0,0,0,0,0,0,15,0,0,128,155,89
45170.60538,0,18.75,0,0,0,0,0,0,0,15,0,0,457,706,528
45170.60556,0,18.75,0,0,0,0,0,0,0,15,0,0,953,1416,1835
45170.60573,0,18.75,0,0,0,0,0,0,0,15,0,0,1106,1559,2083
45170.6059,0,18.75,0,0,0,0,0,0,0,15,0,0,865,1642,2370
45170.60608,0,18.75,0,0,0,0,0,0,0,15,0,0,980,1859,2757
45170.60625,0,18.75,0,0,0,0,0,0,0,15,0,0,342,523,468
45170.60642,0,18.75,0,0,0,0,0,0,0,15,0,0,260,262,169
45170.6066,0,18.75,0,0,0,0,0,0,0,15,0,0,78,63,34
45170.60677,0,18.75,0,0,0,0,0,0,0,15,0,0,205,529,193
45170.60694,0,18.75,0,0,0,0,0,0,0,15,0,0,29,19,20
45170.60712,0,18.75,0,0,0,0,0,0,0,15,0,0,66,73,46
45170.60729,0,18.75,0,0,0,0,0,0,0,15,0,0,305,516,440
45170.60747,0,18.75,0,0,0,0,0,0,0,15,0,0,139,97,64
45170.60764,0,18.75,0,0,0,0,0,0,0,15,0,0,23,20,13
45170.60781,0,18.75,0,0,0,0,0,0,0,15,0,0,1,1,1
45170.60799,0,18.75,0,0,0,0,0,0,0,15,0,0,600,593,864
45170.60816,0,18.75,0,0,0,0,0,0,0,15,0,0,210,280,165
45170.60833,0,18.75,0,0,0,0,0,0,0,15,0,0,110,87,65
45170.60851,0,18.75,0,0,0,0,0,0,0,15,0,0,1,2,0
45170.60868,0,18.75,0,0,0,0,0,0,0,15,0,0,0,0,0
45170.60885,0,18.75,0,0,0,0,0,0,0,15,0,0,107,180,73
45170.60903,0,18.75,0,0,0,0,0,0,0,15,0,0,808,1153,698
45170.6092,0,18.75,0,0,0,0,0,0,0,15,0,0,47,48,129
45170.60938,0,18.75,0,0,0,0,0,0,0,15,0,0,220,494,306
45170.60955,0,18.75,0,0,0,0,0,0,0,15,0,0,557,850,431
45170.60972,0,18.75,0,0,0,0,0,0,0,15,0,0,373,585,194
45170.6099,0,18.75,0,0,0,0,0,0,0,15,0,0,706,1232,715
45170.61007,0,18.75,0,0,0,0,0,0,0,15,0,0,235,301,376
45170.61024,0,18.75,0,0,0,0,0,0,0,15,0,0,399,633,207
45170.61042,0,18.75,0,0,0,0,0,0,0,15,0,0,294,231,145
45170.61059,0,18.75,0,0,0,0,0,0,0,15,0,0,714,856,404
45170.61076,0,18.75,0,0,0,0,0,0,0,15,0,0,863,1399,716
45170.61094,0,18.75,0,0,0,0,0,0,0,15,0,0,1760,1438,1807
45170.61111,0,18.75,0,0,0,0,0,0,0,15,0,0,1923,1738,1908
45170.61128,0,18.75,0,0,0,0,0,0,0,15,0,0,1784,1582,1603
45170.61146,0,18.75,0,0,0,0,0,0,0,15,0,0,1697,1264,2012
45170.61163,0,18.75,0,0,0,0,0,0,0,15,0,0,472,387,761
45170.61181,0,18.75,0,0,0,0,0,0,0,15,0,0,1003,887,1259
45170.61198,0,18.75,0,0,0,0,0,0,0,15,0,0,1103,972,1920
45170.61215,0,18.75,0,0,0,0,0,0,0,15,0,0,915,693,545
45170.61233,0,18.75,0,0,0,0,0,0,0,15,0,0,1438,1257,2329
45170.6125,0,18.75,0,0,0,0,0,0,0,15,0,0,1189,1154,2040
45170.61267,0,18.75,0,0,0,0,0,0,0,15,0,0,1430,1281,1924
45170.61285,0,18.75,0,0,0,0,0,0,0,15,0,0,1235,1101,1755
45170.61302,0,18.75,0,0,0,0,0,0,0,15,0,0,2019,1491,2517
45170.61319,0,18.75,0,0,0,0,0,0,0,15,0,0,965,1042,1422
45170.61337,0,18.75,0,0,0,0,0,0,0,15,0,0,1039,941,1403
45170.61354,0,18.75,0,0,0,0,0,0,0,15,0,0,1067,1122,1232
45170.61372,0,18.75,0,0,0,0,0,0,0,15,0,0,1022,985,1198
45170.61389,0,18.75,0,0,0,0,0,0,0,15,0,0,934,919,1276
45170.61406,0,18.75,0,0,0,0,0,0,0,15,0,0,1935,1695,1132
45170.61424,6,25.84666667,0,8,6,0,0,0,0,7,1,0,5490,7213,5096
45170.61441,26,54.22222222,0,15,15,0,0,0,0,0,0,0,12540,13395,11315
45170.61458,18,46.19111111,0,15,15,0,0,0,0,0,0,0,9681,8788,8577
45170.61476,24,51.53818182,0,15,15,0,0,0,0,0,0,0,14982,14083,13046
45170.61493,16,42.9030303,0,15,15,0,0,0,0,0,0,0,11775,11324,9131
45170.6151,4,26.41878788,0,15,8,0,0,0,0,0,0,0,3275,5027,3047
45170.61528,6,27.49448276,0,15,7,0,0,0,0,0,0,0,3074,4896,3098
45170.61545,18,44.30065238,0,15,15,0,0,0,0,0,0,0,7952,7385,7967
45170.61563,10,33.7354531,0,15,15,0,0,0,0,0,0,0,5174,7638,4987
45170.6158,14,40.86941176,0,15,10,0,0,0,0,0,0,0,9500,7588,8137
45170.61597,14,38.66,0,15,11,0,0,0,0,0,0,0,8056,8077,7338
45170.61615,10,34.54,0,15,7,0,0,0,0,0,0,0,6245,7402,5559
45170.61632,8,29.71238095,0,15,9,0,0,0,0,0,0,0,3488,4596,3268
45170.61649,16,42.96038501,0,15,15,0,0,0,0,0,0,0,8354,7405,7657
