time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45407.58323,0,0,0,0,0,0,0,0,9,0,0,0,4,2,4
45407.58333,0,0,0,0,0,0,0,0,15,0,0,0,1,1,1
45407.58351,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58368,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58385,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58403,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.5842,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58438,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58455,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58472,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.5849,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58507,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58524,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58542,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58559,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58576,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58594,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58611,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1
45407.58628,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1
45407.58646,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58663,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58681,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58698,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58715,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58733,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.5875,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58767,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58785,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58802,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58819,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58837,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58854,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58872,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58889,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58906,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58924,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58941,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58958,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58976,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.58993,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.5901,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59028,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59045,0,0,0,0,0,0,0,0,15,0,0,0,1,1,1
45407.59063,0,0,0,0,0,0,0,0,15,0,0,0,1,1,1
45407.5908,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59097,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59115,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59132,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59149,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59167,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59184,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59201,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59219,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59236,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59253,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59271,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59288,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59306,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59323,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.5934,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59358,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59375,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
45407.59392,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
