time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45405.41657,0,10,8,0,0,0,0,0,0,0,0,0,385,394,1159
45405.41667,0,18.75,15,0,0,0,0,0,0,0,0,0,702,990,1554
45405.41684,0,18.75,15,0,0,0,0,0,0,0,0,0,695,1174,1470
45405.41701,0,18.75,15,0,0,0,0,0,0,0,0,0,568,923,1232
45405.41719,0,18.75,15,0,0,0,0,0,0,0,0,0,504,721,810
45405.41736,0,18.75,15,0,0,0,0,0,0,0,0,0,307,332,484
45405.41753,0,18.75,15,0,0,0,0,0,0,0,0,0,77,114,83
45405.41771,0,18.75,15,0,0,0,0,0,0,0,0,0,10,15,13
45405.41788,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45405.41806,0,18.75,15,0,0,0,0,0,0,0,0,0,26,35,97
45405.41823,0,18.75,15,0,0,0,0,0,0,0,0,0,20,13,47
45405.4184,0,18.75,15,0,0,0,0,0,0,0,0,0,3,2,1
45405.41858,0,18.75,15,0,0,0,0,0,0,0,0,0,218,257,244
45405.41875,0,18.75,15,0,0,0,0,0,0,0,0,0,97,145,103
45405.41892,2,20.67343137,11,4,3,0,0,0,0,0,1,0,2463,3437,2982
45405.4191,0,22.26156863,0,15,2,0,0,0,0,0,0,0,1822,2285,1918
45405.41927,6,26.90651163,0,15,9,0,0,0,0,0,0,0,2403,2901,2878
45405.41944,0,22.89348837,0,15,3,0,0,0,0,0,0,0,842,1053,1067
45405.41962,0,21,0,15,0,0,0,0,0,0,0,0,252,482,279
45405.41979,0,21,0,15,0,0,0,0,0,0,0,0,267,528,327
45405.41997,2,23.6,0,15,1,0,0,0,0,0,0,0,764,1243,955
45405.42014,0,21,0,15,0,0,0,0,0,0,0,0,1107,1724,1315
45405.42031,22,48.04181818,0,15,14,0,0,0,0,0,0,0,14567,9489,11550
45405.42049,28,56.69090909,0,15,15,0,0,0,0,0,0,0,21437,13426,16704
45405.42066,28,56.92727273,0,15,15,0,0,0,0,0,0,0,20096,14081,17700
45405.42083,26,56.21818182,0,15,15,0,0,0,0,0,0,0,18139,12485,15772
45405.42101,26,55.74545455,0,15,15,0,0,0,0,0,0,0,17657,13928,17701
45405.42118,28,55.2530303,0,15,15,0,0,0,0,0,0,0,17159,12514,15629
45405.42135,26,56.1,0,15,15,0,0,0,0,0,0,0,22687,13743,16355
45405.42153,26,55.41060606,0,15,15,0,0,0,0,0,0,0,20237,13229,17119
45405.4217,28,56.57272727,0,15,15,0,0,0,0,0,0,0,24101,12912,16906
