time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45570.0000231481,0,0.000000000000,0,0,0,0,0,0,13,0,0,0,10,4,0
45570.0001736111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,1,1,1
45570.0003472222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0005208333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0006944444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0008680556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0010416667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0012152778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0013888889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0015625000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0017361111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0019097222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0020833333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0022569444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0024305556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0026041667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0027777778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,2,0,2
45570.0029513889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0031250000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,1
45570.0032986111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,1
45570.0034722222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0036458333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0038194444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0039930556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0041666667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0043402778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0045138889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0046875000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0048611111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0050347222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0052083333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0053819444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0055555556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0057291667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0059027778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0060763889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0062500000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,1
45570.0064236111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,1
45570.0065972222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0067708333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0069444444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,2,1,1
45570.0071180556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,1,1
45570.0072916667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0074652778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0076388889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0078125000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0079861111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0081597222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0083333333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0085069444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0086805556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0088541667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0090277778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0092013889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0093750000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0095486111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0097222222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0098958333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0100694444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0102430556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0104166667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0105902778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0107638889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0109375000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0111111111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0112847222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,2,3,1
45570.0114583333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,1,1
45570.0116319444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0118055556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0119791667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0121527778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0123263889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0125000000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0126736111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0128472222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0130208333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0131944444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0133680556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0135416667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0137152778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0138888889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0140625000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0142361111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0144097222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0145833333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0147569444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0149305556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0151041667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0152777778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0154513889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,1,1,3
45570.0156250000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,1,1,1
45570.0157986111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0159722222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0161458333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0163194444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0164930556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0166666667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0168402778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0170138889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0171875000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0173611111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45570.0175347222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
