time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
44952.4374,0,11.25,9,0,0,0,0,0,0,0,0,0,384,820,1024
44952.4375,0,18.75,15,0,0,0,0,0,0,0,0,0,529,1138,1699
44952.43767,0,18.75,15,0,0,0,0,0,0,0,0,0,505,827,1350
44952.43785,0,18.75,15,0,0,0,0,0,0,0,0,0,608,990,1532
44952.43802,0,18.75,15,0,0,0,0,0,0,0,0,0,602,1273,1764
44952.43819,0,18.75,15,0,0,0,0,0,0,0,0,0,711,1438,2130
44952.43837,0,18.75,15,0,0,0,0,0,0,0,0,0,548,850,1422
44952.43854,0,18.75,15,0,0,0,0,0,0,0,0,0,98,123,177
44952.43872,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,1
44952.43889,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.43906,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.43924,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.43941,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.43958,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.43976,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.43993,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.4401,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.44028,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.44045,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.44063,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.4408,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.44097,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.44115,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.44132,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.44149,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.44167,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
44952.44184,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
