time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45020.54156,0,11.25,0,0,0,0,0,0,0,9,0,0,262,315,896
45020.54167,0,18.75,0,0,0,0,0,0,0,15,0,0,651,718,2762
45020.54184,0,18.75,0,0,0,0,0,0,0,15,0,0,700,761,2612
45020.54201,0,18.75,0,0,0,0,0,0,0,15,0,0,432,530,818
45020.54219,0,18.75,0,0,0,0,0,0,0,15,0,0,67,82,127
45020.54236,0,18.75,0,0,0,0,0,0,0,15,0,0,37,35,95
45020.54253,0,18.75,0,0,0,0,0,0,0,15,0,0,33,51,100
45020.54271,0,18.75,0,0,0,0,0,0,0,15,0,0,42,45,78
45020.54288,0,18.75,0,0,0,0,0,0,0,15,0,0,0,0,1
45020.54306,0,18.75,0,0,0,0,0,0,0,15,0,0,191,232,356
45020.54323,0,18.75,0,0,0,0,0,0,0,15,0,0,827,714,2945
45020.5434,0,18.75,0,0,0,0,0,0,0,15,0,0,1062,708,2940
45020.54358,0,18.75,0,0,0,0,0,0,0,15,0,0,1070,612,2816
45020.54375,0,18.75,0,0,0,0,0,0,0,15,0,0,1040,564,2599
45020.54392,0,18.75,0,0,0,0,0,0,0,15,0,0,1034,592,2965
45020.5441,0,18.75,0,0,0,0,0,0,0,15,0,0,928,612,2703
45020.54427,0,18.75,0,0,0,0,0,0,0,15,0,0,518,536,1508
45020.54444,0,18.75,0,0,0,0,0,0,0,15,0,0,589,587,1626
45020.54462,0,18.75,0,0,0,0,0,0,0,15,0,0,965,700,2119
45020.54479,0,18.75,0,0,0,0,0,0,0,15,0,0,1686,816,3964
45020.54497,0,18.75,0,0,0,0,0,0,0,15,0,0,1282,922,3453
45020.54514,0,18.75,0,0,0,0,0,0,0,15,0,0,1019,577,3038
45020.54531,0,18.75,0,0,0,0,0,0,0,15,0,0,485,635,2174
45020.54549,0,18.75,0,0,0,0,0,0,0,15,0,0,306,377,1741
45020.54566,0,18.75,0,0,0,0,0,0,0,15,0,0,661,577,3071
45020.54583,0,18.75,0,0,0,0,0,0,0,15,0,0,1125,816,3519
