time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45154.43741,0,10,0,0,0,0,0,0,0,8,0,0,6,14,2
45154.4375,0,18.75,0,0,0,0,0,0,0,15,0,0,1,0,1
45154.43767,0,18.75,0,0,0,0,0,0,0,15,0,0,0,0,1
45154.43785,0,18.75,0,0,0,0,0,0,0,15,0,0,196,315,232
45154.43802,0,18.75,0,0,0,0,0,0,0,15,0,0,334,363,376
45154.43819,0,18.75,0,0,0,0,0,0,0,15,0,0,30,41,27
45154.43837,0,18.75,0,0,0,0,0,0,0,15,0,0,0,0,1
45154.43854,0,18.75,0,0,0,0,0,0,0,15,0,0,221,215,124
45154.43872,0,18.75,0,0,0,0,0,0,0,15,0,0,81,63,58
45154.43889,0,18.75,0,0,0,0,0,0,0,15,0,0,69,81,54
45154.43906,0,18.75,0,0,0,0,0,0,0,15,0,0,356,406,301
45154.43924,0,18.75,0,0,0,0,0,0,0,15,0,0,937,807,644
45154.43941,0,18.75,0,0,0,0,0,0,0,15,0,0,103,92,53
45154.43958,0,18.75,0,0,0,0,0,0,0,15,0,0,127,125,96
45154.43976,0,18.75,0,0,0,0,0,0,0,15,0,0,1,1,0
45154.43993,0,18.75,0,0,0,0,0,0,0,15,0,0,578,1813,596
45154.4401,0,18.75,0,0,0,0,0,0,0,15,0,0,697,906,658
45154.44028,0,18.75,0,0,0,0,0,0,0,15,0,0,1011,1869,1100
45154.44045,0,18.75,0,0,0,0,0,0,0,15,0,0,949,1626,1037
45154.44063,0,18.75,0,0,0,0,0,0,0,15,0,0,942,1165,1443
45154.4408,0,18.75,0,0,0,0,0,0,0,15,0,0,714,1296,1075
