time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45225.60407,0,10,8,0,0,0,0,0,0,0,0,0,80,161,103
45225.60417,0,18.75,15,0,0,0,0,0,0,0,0,0,202,303,243
45225.60434,0,18.75,15,0,0,0,0,0,0,0,0,0,90,135,92
45225.60451,0,18.75,15,0,0,0,0,0,0,0,0,0,73,136,82
45225.60469,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45225.60486,0,18.75,15,0,0,0,0,0,0,0,0,0,34,71,47
45225.60503,0,18.75,15,0,0,0,0,0,0,0,0,0,115,194,120
45225.60521,0,18.75,15,0,0,0,0,0,0,0,0,0,1,1,1
45225.60538,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45225.60556,0,18.75,15,0,0,0,0,0,0,0,0,0,247,308,368
45225.60573,0,18.75,15,0,0,0,0,0,0,0,0,0,162,228,146
45225.6059,0,18.75,15,0,0,0,0,0,0,0,0,0,17,10,16
45225.60608,0,18.75,15,0,0,0,0,0,0,0,0,0,142,365,228
45225.60625,0,18.75,15,0,0,0,0,0,0,0,0,0,85,184,122
45225.60642,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,1
45225.6066,0,18.75,15,0,0,0,0,0,0,0,0,0,64,128,71
45225.60677,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,1
45225.60694,0,18.75,15,0,0,0,0,0,0,0,0,0,70,135,61
45225.60712,0,18.75,15,0,0,0,0,0,0,0,0,0,268,553,299
45225.60729,0,18.75,15,0,0,0,0,0,0,0,0,0,197,434,291
45225.60747,0,18.75,15,0,0,0,0,0,0,0,0,0,293,443,403
45225.60764,0,18.75,15,0,0,0,0,0,0,0,0,0,212,341,263
45225.60781,0,18.75,15,0,0,0,0,0,0,0,0,0,215,320,282
45225.60799,0,18.75,15,0,0,0,0,0,0,0,0,0,52,88,68
45225.60816,0,18.75,15,0,0,0,0,0,0,0,0,0,2,2,0
