time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45335.43741,0,10,8,0,0,0,0,0,0,0,0,0,8,12,7
45335.4375,0,18.75,15,0,0,0,0,0,0,0,0,0,1,0,1
45335.43767,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43785,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43802,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43819,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43837,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43854,0,18.75,15,0,0,0,0,0,0,0,0,0,0,1,0
45335.43872,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43889,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43906,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43924,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43941,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43958,0,18.75,15,0,0,0,0,0,0,0,0,0,0,0,0
45335.43976,0,18.75,15,0,0,0,0,0,0,0,0,0,729,724,777
45335.43993,2,23.33,2,13,3,0,0,0,0,0,1,0,2195,3277,2776
45335.4401,2,23.6,0,15,2,0,0,0,0,0,0,0,2447,3343,3128
45335.44028,2,23.23586207,0,15,5,0,0,0,0,0,0,0,858,1708,1363
45335.44045,4,25.07213793,0,15,6,0,0,0,0,0,0,0,5278,7164,6034
45335.44063,8,32.892,0,15,11,0,0,0,0,0,0,0,9124,9906,9410
45335.4408,0,21,0,15,0,0,0,0,0,0,0,0,746,1402,1018
45335.44097,0,21,0,15,0,0,0,0,0,0,0,0,1654,2201,1710
45335.44115,0,21,0,15,0,0,0,0,0,0,0,0,1149,2044,1717
45335.44132,0,21,0,15,0,0,0,0,0,0,0,0,2269,3803,2830
45335.44149,0,21,0,15,0,0,0,0,0,0,0,0,1324,2976,1960
45335.44167,2,23.6,0,15,3,0,0,0,0,0,0,0,5735,6529,4921
45335.44184,2,23.6,0,15,3,0,0,0,0,0,0,0,3176,4635,3698
45335.44201,2,22.524,0,15,3,0,0,0,0,0,0,0,1829,3093,2298
45335.44219,2,24.676,0,15,4,0,0,0,0,0,0,0,3057,3714,3624
45335.44236,0,21,0,15,0,0,0,0,0,0,0,0,1527,2272,1621
45335.44253,0,21,0,15,0,0,0,0,0,0,0,0,836,2140,1203
45335.44271,0,21,0,15,0,0,0,0,0,0,0,0,1680,3932,2703
45335.44288,2,23.6,0,15,4,0,0,0,0,0,0,0,4245,4774,4219
45335.44306,12,35.07333333,0,15,11,0,0,0,0,0,0,0,3298,3849,3733
45335.44323,12,35.73333333,0,15,15,0,0,0,0,0,0,0,3557,4076,4545
45335.4434,0,23.39333333,0,15,4,0,0,0,0,0,0,0,2291,2769,2396
45335.44358,2,23.6,0,15,1,0,0,0,0,0,0,0,1512,2256,2451
45335.44375,0,21,0,15,0,0,0,0,0,0,0,0,194,484,308
45335.44392,2,21.51,0,15,0,0,0,0,0,0,0,0,1059,1060,1288
45335.4441,2,25.69,0,15,2,0,0,0,0,0,0,0,992,2053,1508
45335.44427,0,21,0,15,0,0,0,0,0,0,0,0,202,569,343
45335.44444,0,21,0,15,0,0,0,0,0,0,0,0,1495,1669,1880
45335.44462,0,21,0,15,0,0,0,0,0,0,0,0,2064,4003,2651
45335.44479,0,21,0,15,0,0,0,0,0,0,0,0,1612,3782,2372
45335.44497,0,21,0,15,0,0,0,0,0,0,0,0,2808,3430,3480
45335.44514,2,23.6,0,15,6,0,0,0,0,0,0,0,2809,3586,3500
45335.44531,0,21,0,15,0,0,0,0,0,0,0,0,2450,3366,2988
45335.44549,4,26.2,0,15,3,0,0,0,0,0,0,0,2505,2702,3368
45335.44566,0,21,0,15,0,0,0,0,0,0,0,0,634,975,1010
45335.44583,0,21,0,15,0,0,0,0,0,0,0,0,1,0,1
45335.44601,0,21,0,15,0,0,0,0,0,0,0,0,571,1117,874
45335.44618,0,21,0,15,0,0,0,0,0,0,0,0,879,1293,1077
45335.44635,8,31.4,0,15,6,0,0,0,0,0,0,0,3188,3526,4621
45335.44653,0,21,0,15,0,0,0,0,0,0,0,0,346,562,552
45335.4467,0,21,0,15,0,0,0,0,0,0,0,0,288,594,405
45335.44688,0,21,0,15,0,0,0,0,0,0,0,0,104,84,148
45335.44705,0,21,0,15,0,0,0,0,0,0,0,0,1,1,0
45335.44722,0,21,0,15,0,0,0,0,0,0,0,0,271,238,284
45335.4474,0,21,0,15,0,0,0,0,0,0,0,0,2,2,2
45335.44757,0,21,0,15,0,0,0,0,0,0,0,0,81,102,114
45335.44774,0,21,0,15,0,0,0,0,0,0,0,0,665,543,807
45335.44792,0,21,0,15,0,0,0,0,0,0,0,0,44,77,69
45335.44809,0,21,0,15,0,0,0,0,0,0,0,0,49,26,42
45335.44826,0,21,0,15,0,0,0,0,0,0,0,0,1,2,1
45335.44844,0,21,0,15,0,0,0,0,0,0,0,0,352,256,398
