time,StepCount,Activity Score (MET.s),Sedentary Time (s),Upright Time (s),Stepping Time (s),Cycling Time (s),Primary Lying Time (s),Secondary Lying Time (s),Nonwear Time (s),Seated Transport Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3))
45463.3333796296,0,0.000000000000,0,0,0,0,0,0,11,0,0,0,8,9,3
45463.3335069444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,1,1,1
45463.3336805556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3338541667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3340277778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3342013889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3343750000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3345486111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3347222222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3348958333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3350694444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3352430556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3354166667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3355902778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3357638889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3359375000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3361111111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,3,1,0
45463.3362847222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,1,1,0
45463.3364583333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3366319444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3368055556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3369791667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3371527778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3373263889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3375000000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3376736111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3378472222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3380208333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3381944444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3383680556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3385416667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3387152778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3388888889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3390625000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3392361111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3394097222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3395833333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3397569444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3399305556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3401041667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3402777778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,1,1,0
45463.3404513889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,1,1,0
45463.3406250000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3407986111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3409722222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3411458333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3413194444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3414930556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3416666667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3418402778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3420138889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3421875000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3423611111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3425347222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3427083333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3428819444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3430555556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3432291667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3434027778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3435763889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3437500000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3439236111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3440972222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3442708333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3444444444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,1
45463.3446180556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,2,1,1
45463.3447916667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,1,0
45463.3449652778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3451388889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3453125000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3454861111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3456597222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3458333333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3460069444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3461805556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3463541667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3465277778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3467013889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3468750000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3470486111,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3472222222,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3473958333,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3475694444,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3477430556,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3479166667,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3480902778,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3482638889,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
45463.3484375000,0,0.000000000000,0,0,0,0,0,0,15,0,0,0,0,0,0
