Line,Date,Time,Off-Wrist Status,Activity,Marker,White Light,Red Light,Green Light,Blue Light,Sleep/Wake,Interval Status
1,8/16/23,10:30:00 AM,0,NaN,0,NaN,NaN,NaN,NaN,NaN,ACTIVE
2,8/16/23,10:31:00 AM,0,237,0,830.49,6.71E+02,1.47E+03,4.02E+02,NaN,ACTIVE
3,8/16/23,10:32:00 AM,0,373,0,754.89,6.32E+02,1.29E+03,3.88E+02,1,ACTIVE
4,8/16/23,10:33:00 AM,0,176,0,911.86,8.30E+02,1.38E+03,3.37E+02,1,ACTIVE
5,8/16/23,10:34:00 AM,0,229,0,405.74,4.90E+02,5.37E+02,1.56E+02,1,ACTIVE
6,8/16/23,10:35:00 AM,0,385,0,662.07,9.05E+02,7.10E+02,5.61E+02,1,ACTIVE
7,8/16/23,10:36:00 AM,0,279,0,1857.92,2.49E+03,1.61E+03,1.38E+03,1,ACTIVE
8,8/16/23,10:37:00 AM,0,261,0,2018.14,5.02E+03,1.95E+03,1.02E+03,1,ACTIVE
9,8/16/23,10:38:00 AM,0,279,0,1077.39,1.42E+03,1.03E+03,8.35E+02,1,ACTIVE
10,8/16/23,10:39:00 AM,0,298,0,896.96,1.14E+03,9.00E+02,7.10E+02,1,ACTIVE
11,8/16/23,10:40:00 AM,0,194,0,463.54,5.74E+02,6.02E+02,4.30E+02,1,ACTIVE
12,8/16/23,10:41:00 AM,0,194,0,664.32,8.50E+02,7.54E+02,5.69E+02,1,ACTIVE
13,8/16/23,10:42:00 AM,0,182,0,718.75,1.01E+03,7.51E+02,5.93E+02,1,ACTIVE
14,8/16/23,10:43:00 AM,0,298,0,315.83,3.70E+02,4.28E+02,2.29E+02,1,ACTIVE
15,8/16/23,10:44:00 AM,0,318,0,1211.75,1.61E+03,1.19E+03,9.79E+02,1,ACTIVE
16,8/16/23,10:45:00 AM,0,237,0,789.86,1.05E+03,7.43E+02,6.14E+02,1,ACTIVE
17,8/16/23,10:46:00 AM,0,201,0,998.16,1.33E+03,9.10E+02,7.54E+02,1,ACTIVE
18,8/16/23,10:47:00 AM,0,222,0,1037.67,1.36E+03,9.42E+02,7.84E+02,1,ACTIVE
19,8/16/23,10:48:00 AM,0,94,0,2865.75,4.13E+03,3.02E+03,2.39E+03,1,ACTIVE
20,8/16/23,10:49:00 AM,0,164,0,2527.31,3.95E+03,2.83E+03,2.21E+03,1,ACTIVE
21,8/16/23,10:50:00 AM,0,270,0,2156.77,3.04E+03,2.14E+03,1.77E+03,1,ACTIVE
22,8/16/23,10:51:00 AM,0,424,0,1876.24,4.19E+03,2.00E+03,9.77E+02,1,ACTIVE
23,8/16/23,10:52:00 AM,0,566,0,1554.6,3.37E+03,1.95E+03,5.65E+02,1,ACTIVE
24,8/16/23,10:53:00 AM,0,339,0,1057.26,1.54E+03,1.37E+03,9.82E+02,1,ACTIVE
25,8/16/23,10:54:00 AM,0,548,0,1381.85,1.82E+03,1.83E+03,1.04E+03,1,ACTIVE
26,8/16/23,10:55:00 AM,0,438,0,1176.54,2.30E+03,1.40E+03,5.44E+02,1,ACTIVE
27,8/16/23,10:56:00 AM,0,361,0,940.21,2.34E+03,1.09E+03,3.30E+02,1,ACTIVE
28,8/16/23,10:57:00 AM,0,237,0,613.56,7.57E+02,8.85E+02,3.06E+02,1,ACTIVE
29,8/16/23,10:58:00 AM,0,339,0,291.77,2.59E+02,2.41E+02,1.62E+02,1,ACTIVE
30,8/16/23,10:59:00 AM,0,229,0,142.08,1.67E+02,1.71E+02,1.13E+02,1,ACTIVE
31,8/16/23,11:00:00 AM,0,182,0,519.03,6.63E+02,7.37E+02,4.83E+02,1,ACTIVE
32,8/16/23,11:01:00 AM,0,385,0,963.94,1.31E+03,1.30E+03,5.60E+02,1,ACTIVE
33,8/16/23,11:02:00 AM,0,139,0,792.51,1.10E+03,1.04E+03,4.03E+02,1,ACTIVE
34,8/16/23,11:03:00 AM,0,776,0,612.95,7.97E+02,8.58E+02,4.02E+02,1,ACTIVE
35,8/16/23,11:04:00 AM,0,603,0,713.96,8.81E+02,9.30E+02,6.65E+02,1,ACTIVE
36,8/16/23,11:05:00 AM,0,176,0,1319.22,1.40E+03,1.84E+03,1.12E+03,1,ACTIVE
37,8/16/23,11:06:00 AM,0,298,0,639.2,8.21E+02,7.12E+02,5.59E+02,1,ACTIVE
38,8/16/23,11:07:00 AM,0,288,0,1120.08,1.45E+03,1.41E+03,1.04E+03,1,ACTIVE
39,8/16/23,11:08:00 AM,0,208,0,1257.74,1.42E+03,1.97E+03,1.17E+03,1,ACTIVE
40,8/16/23,11:09:00 AM,0,411,0,1548.77,2.17E+03,1.51E+03,1.25E+03,1,ACTIVE
41,8/16/23,11:10:00 AM,0,270,0,1895.92,2.47E+03,2.04E+03,1.60E+03,1,ACTIVE
42,8/16/23,11:11:00 AM,0,125,0,1753.92,2.84E+03,1.61E+03,1.42E+03,1,ACTIVE
43,8/16/23,11:12:00 AM,0,129,0,1623.5,2.21E+03,1.41E+03,1.22E+03,1,ACTIVE
44,8/16/23,11:13:00 AM,0,482,0,660.15,7.10E+02,8.82E+02,3.42E+02,1,ACTIVE
