Line,Date,Time,Off-Wrist Status,Activity,Marker,White Light,Red Light,Green Light,Blue Light,Sleep/Wake,Interval Status
1,2/13/24,10:30:00 AM,0,NaN,0,NaN,NaN,NaN,NaN,NaN,ACTIVE
2,2/13/24,10:31:00 AM,0,19,0,41.85,9.35E+01,3.98E+01,3.22E+01,NaN,ACTIVE
3,2/13/24,10:32:00 AM,0,11,0,33.03,8.27E+01,3.17E+01,2.69E+01,0,ACTIVE
4,2/13/24,10:33:00 AM,0,36,0,55.08,1.25E+02,5.18E+01,4.29E+01,0,ACTIVE
5,2/13/24,10:34:00 AM,0,0,0,73.75,1.66E+02,7.04E+01,5.76E+01,0,ACTIVE
6,2/13/24,10:35:00 AM,0,0,0,74.22,1.68E+02,7.12E+01,5.82E+01,0,ACTIVE
7,2/13/24,10:36:00 AM,0,0,0,74.22,1.69E+02,7.12E+01,5.82E+01,1,ACTIVE
8,2/13/24,10:37:00 AM,0,94,0,68.32,1.55E+02,6.63E+01,5.37E+01,1,ACTIVE
9,2/13/24,10:38:00 AM,0,1030,0,86.28,1.75E+02,8.18E+01,6.43E+01,1,ACTIVE
10,2/13/24,10:39:00 AM,0,2109,0,71.87,1.62E+02,7.42E+01,5.95E+01,1,ACTIVE
11,2/13/24,10:40:00 AM,0,1922,0,67.75,1.46E+02,7.42E+01,5.68E+01,1,ACTIVE
12,2/13/24,10:41:00 AM,0,1546,0,97.74,1.75E+02,1.30E+02,9.08E+01,1,ACTIVE
13,2/13/24,10:42:00 AM,0,1323,0,51.24,9.53E+01,4.85E+01,3.69E+01,1,ACTIVE
14,2/13/24,10:43:00 AM,0,229,0,0,8.41E+01,9.25E+01,5.17E+01,1,ACTIVE
15,2/13/24,10:44:00 AM,0,684,0,0,3.49E+01,4.01E+01,2.08E+01,1,ACTIVE
16,2/13/24,10:45:00 AM,0,908,0,0,7.50E+01,7.11E+02,6.59E+01,1,ACTIVE
17,2/13/24,10:46:00 AM,0,498,0,0,1.03E+02,8.38E+01,5.97E+01,1,ACTIVE
18,2/13/24,10:47:00 AM,0,622,0,0,6.10E+01,6.59E+01,3.77E+01,1,ACTIVE
19,2/13/24,10:48:00 AM,0,0,0,0,6.90E+01,7.11E+01,4.12E+01,1,ACTIVE
